Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
CHI,11/10/13,DET,48%,0," Chicago, Illinois",Soldier Field,Grass,CHI_DET,47,10,A Few Clouds,4
GB,11/10/13,PHI,51%,0," Green Bay, Wisconsin",Lambeau Field,Desso,GB_PHI,46,10,Partly Cloudy,9
TEN,11/10/13,JAX,29%,0," Nashville, Tennessee",Nissan Stadium,,JAX_TEN,65,10,Fair,5
IND,11/10/13,LA,52%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_LA,47,10,A Few Clouds,7
NYG,11/10/13,OAK,55%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYG_OAK,53,10,Light Rain,14
PIT,11/10/13,BUF,46%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,BUF_PIT,45,10,Overcast,17
BAL,11/10/13,CIN,28%,0," Baltimore, Maryland",M&T Bank Stadium,,BAL_CIN,62,0,Breezy,0
SF,11/10/13,CAR,63%,0," San Francisco, California",Candlestick Park,Kentucky,CAR_SF,61,0,NA,0
LAC,11/10/13,DEN,18%,0," San Diego, California",Qualcomm Stadium,Grass,DEN_LAC,77,0,NA,6
ARI,11/10/13,HOU,17%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_HOU,82,20,Mostly Cloudy,0
NO,11/10/13,DAL,68%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,DAL_NO,65,10,A Few Clouds,0
TB,11/11/13,MIA,76%,0," Tampa, Florida",Raymond James Stadium,Grass,MIA_TB,72,10,Partly Cloudy,0
TEN,11/14/13,IND,45%,0," Nashville, Tennessee",Nissan Stadium,,IND_TEN,40,10,Partly Cloudy,5
HOU,11/17/13,OAK,61%,0," Houston, Texas",NRG Stadium,Grass,HOU_OAK,85,10,Mostly Cloudy,14
PHI,11/17/13,WAS,63%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,PHI_WAS,67,10,Mostly Cloudy,7
PIT,11/17/13,DET,90%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,DET_PIT,59,7,Light Rain,11
